,desc,docurl,filedate,path,ticker,filename
2778,0001047469-04-005840,/Archives/edgar/data/21344/000104746904005840/0001047469-04-005840-index.htm,2/27/2004,https://www.sec.gov/Archives/edgar/data/21344/000104746904005840/0001047469-04-005840.txt,KO,KO_2004-02-27_0001047469-04-005840.txt
2779,0000021344-03-000031,/Archives/edgar/data/21344/000002134403000031/0000021344-03-000031-index.htm,3/26/2003,https://www.sec.gov/Archives/edgar/data/21344/000002134403000031/0000021344-03-000031.txt,KO,KO_2003-03-26_0000021344-03-000031.txt
2780,0000021344-02-000013,/Archives/edgar/data/21344/000002134402000013/0000021344-02-000013-index.htm,3/13/2002,https://www.sec.gov/Archives/edgar/data/21344/000002134402000013/0000021344-02-000013.txt,KO,KO_2002-03-13_0000021344-02-000013.txt
2781,0000021344-02-000011,/Archives/edgar/data/21344/000002134402000011/0000021344-02-000011-index.htm,3/11/2002,https://www.sec.gov/Archives/edgar/data/21344/000002134402000011/0000021344-02-000011.txt,KO,KO_2002-03-11_0000021344-02-000011.txt
2782,0000021344-01-000005,/Archives/edgar/data/21344/000002134401000005/0000021344-01-000005-index.htm,3/7/2001,https://www.sec.gov/Archives/edgar/data/21344/000002134401000005/0000021344-01-000005.txt,KO,KO_2001-03-07_0000021344-01-000005.txt
2783,0000021344-00-000009,/Archives/edgar/data/21344/0000021344-00-000009-index.html,3/9/2000,https://www.sec.gov/Archives/edgar/data/21344/000002134400000009/0000021344-00-000009.txt,KO,KO_2000-03-09_0000021344-00-000009.txt
2784,0000021344-99-000005,/Archives/edgar/data/21344/0000021344-99-000005-index.html,3/29/1999,https://www.sec.gov/Archives/edgar/data/21344/000002134499000005/0000021344-99-000005.txt,KO,KO_1999-03-29_0000021344-99-000005.txt
2785,0000021344-98-000004,/Archives/edgar/data/21344/0000021344-98-000004-index.html,3/9/1998,https://www.sec.gov/Archives/edgar/data/21344/000002134498000004/0000021344-98-000004.txt,KO,KO_1998-03-09_0000021344-98-000004.txt
2786,0000021344-97-000014,/Archives/edgar/data/21344/0000021344-97-000014-index.html,3/11/1997,https://www.sec.gov/Archives/edgar/data/21344/000002134497000014/0000021344-97-000014.txt,KO,KO_1997-03-11_0000021344-97-000014.txt
2787,0000021344-96-000006,/Archives/edgar/data/21344/0000021344-96-000006-index.html,3/14/1996,https://www.sec.gov/Archives/edgar/data/21344/000002134496000006/0000021344-96-000006.txt,KO,KO_1996-03-14_0000021344-96-000006.txt
2788,0000021344-95-000007,/Archives/edgar/data/21344/0000021344-95-000007-index.html,3/13/1995,https://www.sec.gov/Archives/edgar/data/21344/000002134495000007/0000021344-95-000007.txt,KO,KO_1995-03-13_0000021344-95-000007.txt
2789,0000950144-94-000600,/Archives/edgar/data/21344/0000950144-94-000600-index.html,3/14/1994,https://www.sec.gov/Archives/edgar/data/21344/000095014494000600/0000950144-94-000600.txt,KO,KO_1994-03-14_0000950144-94-000600.txt
2790,0001058290-18-000009,/Archives/edgar/data/1058290/000105829018000009/0001058290-18-000009-index.htm,2/27/2018,https://www.sec.gov/Archives/edgar/data/1058290/000105829018000009/0001058290-18-000009.txt,CTSH,CTSH_2018-02-27_0001058290-18-000009.txt
2791,0001058290-17-000008,/Archives/edgar/data/1058290/000105829017000008/0001058290-17-000008-index.htm,3/1/2017,https://www.sec.gov/Archives/edgar/data/1058290/000105829017000008/0001058290-17-000008.txt,CTSH,CTSH_2017-03-01_0001058290-17-000008.txt
2792,0001058290-16-000049,/Archives/edgar/data/1058290/000105829016000049/0001058290-16-000049-index.htm,2/25/2016,https://www.sec.gov/Archives/edgar/data/1058290/000105829016000049/0001058290-16-000049.txt,CTSH,CTSH_2016-02-25_0001058290-16-000049.txt
2793,0001058290-15-000006,/Archives/edgar/data/1058290/000105829015000006/0001058290-15-000006-index.htm,2/27/2015,https://www.sec.gov/Archives/edgar/data/1058290/000105829015000006/0001058290-15-000006.txt,CTSH,CTSH_2015-02-27_0001058290-15-000006.txt
2794,0001193125-14-067531,/Archives/edgar/data/1058290/000119312514067531/0001193125-14-067531-index.htm,2/25/2014,https://www.sec.gov/Archives/edgar/data/1058290/000119312514067531/0001193125-14-067531.txt,CTSH,CTSH_2014-02-25_0001193125-14-067531.txt
2795,0001193125-13-077271,/Archives/edgar/data/1058290/000119312513077271/0001193125-13-077271-index.htm,2/26/2013,https://www.sec.gov/Archives/edgar/data/1058290/000119312513077271/0001193125-13-077271.txt,CTSH,CTSH_2013-02-26_0001193125-13-077271.txt
2796,0001193125-12-081638,/Archives/edgar/data/1058290/000119312512081638/0001193125-12-081638-index.htm,2/27/2012,https://www.sec.gov/Archives/edgar/data/1058290/000119312512081638/0001193125-12-081638.txt,CTSH,CTSH_2012-02-27_0001193125-12-081638.txt
2797,0001193125-11-043696,/Archives/edgar/data/1058290/000119312511043696/0001193125-11-043696-index.htm,2/23/2011,https://www.sec.gov/Archives/edgar/data/1058290/000119312511043696/0001193125-11-043696.txt,CTSH,CTSH_2011-02-23_0001193125-11-043696.txt
2798,0001193125-10-040500,/Archives/edgar/data/1058290/000119312510040500/0001193125-10-040500-index.htm,2/25/2010,https://www.sec.gov/Archives/edgar/data/1058290/000119312510040500/0001193125-10-040500.txt,CTSH,CTSH_2010-02-25_0001193125-10-040500.txt
2799,0001193125-09-042103,/Archives/edgar/data/1058290/000119312509042103/0001193125-09-042103-index.htm,3/2/2009,https://www.sec.gov/Archives/edgar/data/1058290/000119312509042103/0001193125-09-042103.txt,CTSH,CTSH_2009-03-02_0001193125-09-042103.txt
2800,0001193125-08-042031,/Archives/edgar/data/1058290/000119312508042031/0001193125-08-042031-index.htm,2/28/2008,https://www.sec.gov/Archives/edgar/data/1058290/000119312508042031/0001193125-08-042031.txt,CTSH,CTSH_2008-02-28_0001193125-08-042031.txt
2801,0001193125-07-034095,/Archives/edgar/data/1058290/000119312507034095/0001193125-07-034095-index.htm,2/16/2007,https://www.sec.gov/Archives/edgar/data/1058290/000119312507034095/0001193125-07-034095.txt,CTSH,CTSH_2007-02-16_0001193125-07-034095.txt
2802,0001193125-06-054940,/Archives/edgar/data/1058290/000119312506054940/0001193125-06-054940-index.htm,3/15/2006,https://www.sec.gov/Archives/edgar/data/1058290/000119312506054940/0001193125-06-054940.txt,CTSH,CTSH_2006-03-15_0001193125-06-054940.txt
